"Time" "GATdat80.x" "GATdat80.y" "GATdat20.x" "GATdat20.y" "GAT20" "GAT80" "MAT" "CMT" "SST20" "SST80"
"1" 0 0 10.3392891300737 0 10.3755473053655 13.73 13.73 7.963 -3.472 17.15 17.15
"2" 0.002 0.002 10.3408977633881 0.002 10.3776073718313 13.7309713732121 13.7302890369464 7.96380596127021 -3.47137859480683 17.1511752319474 17.1505475713442
"3" 0.004 0.004 10.3425067154308 0.004 10.3796674389363 13.7319428997506 13.7305786692949 7.96461220469714 -3.47075687684409 17.1523505315478 17.1510956085489
"4" 0.006 0.006 10.3441159711869 0.006 10.381727506647 13.7329145795517 13.7308688819656 7.96541871527829 -3.47013486112023 17.153525898758 17.1516440965739
"5" 0.008 0.008 10.3457255156416 0.008 10.38378757493 13.7338864125518 13.7311596598784 7.96622547801117 -3.46951256264367 17.1547013335347 17.1521930203795
"6" 0.01 0.01 10.3473353337801 0.01 10.3858476437517 13.7348583986872 13.7314509879535 7.96703247789332 -3.46888999642285 17.1558768358347 17.1527423649256
"7" 0.012 0.012 10.3489454105875 0.012 10.3879077130787 13.7358305378941 13.7317428511109 7.96783969992224 -3.46826717746618 17.1570524056145 17.1532921151722
"8" 0.014 0.014 10.350555731049 0.014 10.3899677828776 13.7368028301089 13.7320352342706 7.96864712909544 -3.4676441207821 17.1582280428311 17.1538422560796
"9" 0.016 0.016 10.3521662801497 0.016 10.3920278531147 13.7377752752678 13.7323281223527 7.96945475041044 -3.46702084137905 17.159403747441 17.1543927726077
"10" 0.018 0.018 10.3537770428748 0.018 10.3940879237567 13.7387478733071 13.7326215002773 7.97026254886476 -3.46639735426545 17.1605795194009 17.1549436497165
"11" 0.02 0.02 10.3553880042094 0.02 10.39614799477 13.7397206241632 13.7329153529646 7.97107050945591 -3.46577367444972 17.1617553586677 17.1554948723663
"12" 0.022 0.022 10.3569991491388 0.022 10.3982080661212 13.7406935277724 13.7332096653345 7.97187861718141 -3.46514981694032 17.1629312651981 17.156046425517
"13" 0.024 0.024 10.358610462648 0.024 10.4002681377768 13.7416665840711 13.7335044223073 7.97268685703877 -3.46452579674566 17.1641072389487 17.1565982941287
"14" 0.026 0.026 10.3602219297223 0.026 10.4023282097033 13.7426397929954 13.7337996088031 7.9734952140255 -3.46390162887417 17.1652832798762 17.1571504631615
"15" 0.028 0.028 10.3618335353468 0.028 10.4043882818672 13.7436131544817 13.734095209742 7.97430367313913 -3.46327732833428 17.1664593879375 17.1577029175756
"16" 0.03 0.03 10.3634452645066 0.03 10.4064483542351 13.7445866684665 13.7343912100443 7.97511221937716 -3.46265291013442 17.1676355630892 17.1582556423309
"17" 0.032 0.032 10.365057102187 0.032 10.4085084267735 13.745560334886 13.7346875946301 7.97592083773713 -3.46202838928304 17.168811805288 17.1588086223876
"18" 0.034 0.034 10.366669033373 0.034 10.4105684994488 13.7465341536765 13.7349843484196 7.97672951321652 -3.46140378078854 17.1699881144908 17.1593618427058
"19" 0.036 0.036 10.3682810430498 0.036 10.4126285722277 13.7475081247744 13.735281456333 7.97753823081287 -3.46077909965937 17.1711644906541 17.1599152882456
"20" 0.038 0.038 10.3698931162026 0.038 10.4146886450765 13.7484822481161 13.7355789032905 7.97834697552369 -3.46015436090395 17.1723409337347 17.1604689439671
"21" 0.04 0.04 10.3715052378166 0.04 10.416748717962 13.7494565236379 13.7358766742125 7.97915573234649 -3.45952957953071 17.1735174436894 17.1610227948304
"22" 0.042 0.042 10.3731173928769 0.042 10.4188087908504 13.7504309512762 13.7361747540191 7.97996448627878 -3.4589047705481 17.1746940204749 17.1615768257956
"23" 0.044 0.044 10.3747295663687 0.044 10.4208688637085 13.7514055309673 13.7364731276306 7.98077322231809 -3.45827994896452 17.1758706640479 17.1621310218228
"24" 0.046 0.046 10.3763417432771 0.046 10.4229289365026 13.7523802626476 13.7367717799673 7.98158192546194 -3.45765512978842 17.1770473743652 17.1626853678722
"25" 0.048 0.048 10.3779539085873 0.048 10.4249890091994 13.7533551462535 13.7370706959495 7.98239058070782 -3.45703032802823 17.1782241513834 17.1632398489038
"26" 0.05 0.05 10.3795660472844 0.05 10.4270490817653 13.7543301817212 13.7373698604974 7.98319917305326 -3.45640555869237 17.1794009950593 17.1637944498778
"27" 0.052 0.052 10.3811781443537 0.052 10.4291091541669 13.7553053689874 13.7376692585315 7.98400768749578 -3.45578083678928 17.1805779053497 17.1643491557544
"28" 0.054 0.054 10.3827901847802 0.054 10.4311692263706 13.7562807079882 13.7379688749721 7.98481610903289 -3.45515617732738 17.1817548822112 17.1649039514936
"29" 0.056 0.056 10.3844021535491 0.056 10.433229298343 13.7572561986601 13.7382686947394 7.9856244226621 -3.45453159531511 17.1829319256007 17.1654588220555
"30" 0.058 0.058 10.3860140356457 0.058 10.4352893700507 13.7582318409394 13.7385687027539 7.98643261338093 -3.4539071057609 17.1841090354748 17.1660137524005
"31" 0.06 0.06 10.387625816055 0.06 10.43734944146 13.7592076347627 13.7388688839359 7.98724066618689 -3.45328272367317 17.1852862117902 17.1665687274885
"32" 0.062 0.062 10.3892374797622 0.062 10.4394095125376 13.7601835800662 13.7391692232059 7.98804856607751 -3.45265846406036 17.1864634545038 17.1671237322797
"33" 0.064 0.064 10.3908490117524 0.064 10.44146958325 13.7611596767864 13.7394697054842 7.98885629805029 -3.4520343419309 17.1876407635722 17.1676787517343
"34" 0.066 0.066 10.3924603970109 0.066 10.4435296535637 13.7621359248597 13.7397703156912 7.98966384710275 -3.45141037229321 17.1888181389522 17.1682337708124
"35" 0.068 0.068 10.3940716205228 0.068 10.4455897234451 13.7631123242225 13.7400710387474 7.9904711982324 -3.45078657015573 17.1899955806005 17.1687887744742
"36" 0.07 0.07 10.3956826672732 0.07 10.4476497928609 13.7640888748112 13.7403718595732 7.99127833643677 -3.45016295052689 17.1911730884739 17.1693437476798
"37" 0.072 0.072 10.3972935222473 0.072 10.4497098617775 13.7650655765622 13.7406727630891 7.99208524671336 -3.44953952841512 17.1923506625291 17.1698986753894
"38" 0.074 0.074 10.3989041704303 0.074 10.4517699301615 13.766042429412 13.7409737342155 7.99289191405969 -3.44891631882885 17.1935283027228 17.1704535425632
"39" 0.076 0.076 10.4005145968073 0.076 10.4538299979794 13.767019433297 13.741274757873 7.99369832347328 -3.4482933367765 17.1947060090118 17.1710083341614
"40" 0.078 0.078 10.4021247863635 0.078 10.4558900651976 13.7679965881536 13.741575818982 7.99450445995164 -3.44767059726651 17.1958837813528 17.171563035144
