"Time" "GATnoK" "SSTnoK"
"1" 0 13.7497136029878 17.1697645716046
"2" 10 15.0098554293561 18.7389206330233
"3" 20 15.0499607934056 18.9421549594125
"4" 30 15.7804813311634 19.255047369084
"5" 40 19.8949216170062 22.6804284114974
"6" 50 22.480540945221 24.3636217551364
"7" 60 22.3636705563806 23.9770336806841
"8" 70 23.3570145215221 24.7536539694945
"9" 80 24.0800899039313 25.4653550968889
"10" 90 23.7529694144351 26.0290112581918
"11" 100 23.1507818845908 26.2950082949824
