Age	Temperature
0	13.458
0.002	13.3113333333333
0.004	13.414
0.006	12.6161333333333
0.008	12.1673333333333
0.01	9.33666666666667
0.012	9.64466666666667
0.014	8.0812
0.016	8.14866666666667
0.018	8.30413333333333
0.02	8.63266666666667
0.022	8.97
0.024	9.0492
0.026	9.34253333333333
0.028	9.322
0.03	9.19
0.032	9.60946666666667
0.034	9.5948
0.036	9.894
0.038	9.83533333333333
0.04	9.82066666666667
0.042	9.674
0.044	10.07
0.046	9.93213333333333
0.048	9.90866666666667
0.05	9.90866666666667
0.052	9.90866666666667
0.054	10.2078666666667
0.056	9.938
0.058	9.87933333333333
0.06	9.47746666666667
0.062	9.2868
0.064	9.38066666666667
0.066	9.20466666666667
0.068	9.77666666666667
0.07	10.2078666666667
0.072	10.4953333333333
0.074	10.4953333333333
0.076	10.9646666666667
0.078	11.17
0.08	11.434
0.082	11.346
0.084	11.5894666666667
0.086	11.346
0.088	10.9441333333333
0.09	10.0553333333333
0.094	11.038
0.096	10.6918666666667
0.098	11.038
0.1	11.0526666666667
0.102	11.39
0.104	12.0206666666667
0.106	11.698
0.108	11.7566666666667
0.11	11.3166666666667
0.112	11.1201333333333
0.114	10.5833333333333
0.116	10.7593333333333
0.118	10.9646666666667
0.12	10.9441333333333
0.122	12.0206666666667
0.124	12.5486666666667
0.126	12.8801333333333
0.128	13.4814666666667
0.13	12.8478666666667
0.132	11.2961333333333
0.134	8.83213333333333
0.136	8.45666666666667
0.138	8.53
0.14	8.23666666666667
0.142	8.68546666666667
0.144	8.55933333333333
0.146	9.322
0.148	9.2428
0.15	9.08733333333333
0.152	9.90866666666667
0.154	8.926
0.156	9.27213333333333
0.158	9.762
0.16	9.55666666666667
0.162	9.69453333333333
0.164	9.70333333333333
0.168	10.0172
0.17	10.114
0.172	9.938
0.174	9.85
0.176	9.55666666666667
0.178	9.99666666666667
0.18	9.77666666666667
0.182	9.64466666666667
0.186	9.60066666666667
0.188	10.114
0.19	11.3665333333333
0.192	11.0966666666667
0.194	11.8886666666667
0.196	11.8828
0.198	12.2201333333333
0.202	12.5486666666667
0.204	12.0793333333333
0.208	12.1673333333333
0.21	12.2846666666667
0.214	12.1673333333333
0.218	12.5105333333333
0.22	12.5985333333333
0.224	12.006
0.226	10.4513333333333
0.228	10.1228
0.232	10.026
0.234	10.8326666666667
0.236	10.2313333333333
0.238	11.0908
0.24	11.7566666666667
0.242	11.1406666666667
0.244	13.0561333333333
0.246	11.1318666666667
0.248	9.99666666666667
0.25	10.4073333333333
0.252	9.24866666666667
0.254	9.20466666666667
0.256	9.4188
0.258	9.48333333333333
0.26	9.8588
0.262	9.8412
0.264	9.67986666666667
0.266	9.718
0.268	9.55666666666667
0.27	9.35133333333333
0.272	9.35133333333333
0.274	9.66813333333333
0.276	9.52733333333333
0.278	9.73266666666667
0.284	10.6566666666667
0.288	11.17
0.29	10.9353333333333
0.292	12.226
0.294	10.5833333333333
0.296	10.0846666666667
0.298	9.73266666666667
0.3	10.5833333333333
0.302	9.90866666666667
0.304	10.29
0.306	10.7153333333333
0.31	10.994
0.312	11.4633333333333
0.314	10.0553333333333
0.316	11.17
0.318	12.2846666666667
0.32	11.83
0.322	12.2113333333333
0.324	11.698
0.326	13.37
0.328	13.282
0.33	13.2233333333333
0.332	13.634
0.334	14.2793333333333
0.336	13.6545333333333
0.338	11.522
0.344	9.33666666666667
0.346	8.53
0.348	10.818
0.35	9.08733333333333
0.352	9.82066666666667
0.354	9.498
0.356	9.762
0.358	9.38066666666667
