Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
6800	-452.579473754558	5	3	0
6900	-451.520354877613	3	1	1
7000	-444.598056195672	4	1	1
7100	-446.359372961532	3	3	0
7200	-458.187029436793	3	2	4
7300	-452.282710679062	3	1	2
7400	-445.584303316486	3	2	1
7500	-461.203180436917	5	4	2
7600	-457.85353823221	6	3	3
7700	-451.32934485692	3	4	1
7800	-453.257984323056	3	2	2
7900	-448.477368432379	3	2	2
8000	-447.880712622651	2	2	2
8100	-457.986478105857	4	3	1
8200	-448.577528059942	5	3	0
8300	-451.845920462578	4	1	0
8400	-438.246335206363	4	2	1
8500	-453.784166915547	2	1	1
8600	-452.193485644078	2	2	0
8700	-442.685893270498	4	2	2
8800	-449.287460237987	5	1	1
8900	-438.919802734828	4	4	1
9000	-451.50744505596	3	3	2
9100	-444.219039966379	3	1	3
9200	-450.970358999087	3	2	2
9300	-442.950866811384	3	3	2
9400	-445.810302783411	3	3	2
9500	-444.411572044017	3	1	2
9600	-469.270233567936	7	1	2
9700	-443.959268403815	3	4	2
9800	-443.09016529552	3	1	3
9900	-449.893666090119	3	4	3
10000	-448.989194458263	5	1	2
10100	-448.664034320772	3	3	1
10200	-458.814289059464	5	2	2
10300	-454.100119832509	4	2	3
10400	-447.713090355805	3	2	2
10500	-453.381105531505	4	2	2
10600	-447.86104264399	3	2	2
10700	-451.136930501245	3	2	3
10800	-444.793945634067	4	2	2
10900	-449.381226083341	3	2	2
11000	-447.443722365534	4	1	1
11100	-445.745982440245	4	2	2
11200	-452.882229229796	5	2	1
11300	-447.927940598485	5	2	0
11400	-466.888113854571	6	3	2
11500	-447.586967955531	5	3	0
11600	-452.249194004357	6	1	0
11700	-455.394102149658	7	1	0
11800	-443.774262222201	4	2	1
11900	-455.475083229963	5	4	0
12000	-441.586871024463	4	2	0
12100	-443.228940043217	4	1	0
12200	-453.951271733891	6	5	2
12300	-448.281799714266	6	1	0
12400	-449.621556601663	4	1	1
12500	-444.783060668146	4	2	0
12600	-446.752845175712	4	2	0
12700	-447.874819669426	4	3	3
12800	-447.781170836778	5	2	0
12900	-454.532266302138	5	1	0
13000	-461.015587519933	6	4	2
13100	-446.121399254	4	2	1
13200	-454.575783908416	7	1	0
13300	-456.674903806287	4	4	1
13400	-442.81294256037	3	1	0
13500	-459.656983186281	2	1	1
13600	-448.90418160329	3	2	3
13700	-458.204735917895	3	3	3
13800	-449.178136252498	3	2	2
13900	-458.163801940086	3	4	2
14000	-448.013496064285	3	2	2
14100	-457.952773211814	3	3	1
14200	-451.048162340907	2	1	4
14300	-447.155882105133	3	3	2
14400	-451.927334730455	5	4	1
14500	-444.972714349388	5	3	0
14600	-459.421881360784	6	1	2
14700	-457.543988287966	6	1	2
14800	-447.216162874165	4	2	2
14900	-446.683656816345	4	2	1
15000	-439.88772225726	3	5	1
15100	-449.445735893034	4	1	1
15200	-449.650504435973	5	2	2
15300	-438.902275914664	3	2	1
15400	-450.036229719389	4	3	1
15500	-440.191336830527	4	2	0
15600	-440.647303161322	4	4	0
15700	-443.951220144188	5	5	0
15800	-447.12323767445	5	1	0
15900	-447.321558180482	5	3	0
16000	-453.204286629805	6	1	0
16100	-448.200137726787	4	2	1
16200	-459.953431489629	5	3	0
16300	-460.418730117516	5	3	1
16400	-452.310851399726	4	1	2
16500	-454.409903705263	4	3	1
16600	-461.853011715063	6	1	2
16700	-452.780114843328	4	4	1
16800	-459.197841616572	3	3	2
16900	-449.673755220995	5	1	1
17000	-453.97882545791	5	2	0
17100	-450.029340334711	3	2	3
17200	-448.390426350902	3	3	1
17300	-452.111055486505	4	1	2
17400	-450.025461758703	3	1	2
17500	-443.088589234897	4	4	0
17600	-447.482461561724	2	1	2
17700	-444.933647620224	3	1	4
17800	-455.055126705259	3	1	3
17900	-451.029396293468	3	3	3
18000	-448.746175164225	4	2	1
18100	-451.046073829207	4	1	1
18200	-451.724260058067	5	4	1
18300	-444.684632475545	5	2	0
18400	-456.595635140612	5	2	1
18500	-460.55410034378	4	5	0
18600	-453.853398530393	5	1	2
18700	-453.508544398761	5	6	0
18800	-455.35068834342	5	3	0
18900	-446.893318935059	4	3	1
19000	-449.12804051354	3	2	0
19100	-444.588232356193	4	1	2
19200	-443.690599629875	4	2	0
19300	-452.084963830751	5	1	3
19400	-452.828653337943	4	3	1
19500	-448.166583659472	5	1	0
19600	-449.699289076785	5	1	0
19700	-445.196490907353	5	2	0
19800	-452.265287375112	5	2	0
19900	-454.736214328958	4	2	0
20000	-454.166552125455	3	1	1
20100	-454.118800434404	5	3	0
20200	-447.458501517889	5	3	0
20300	-447.83119367764	5	1	1
20400	-447.397495127852	4	3	0
20500	-444.476556571505	5	2	0
